CNPJ,P200 (25)
00.252.256/0001-96,"50.040,80"
01.746.813/0001-98,"251.636,31"
01.777.154/0001-57,"171.251,64"
01.833.846/0001-75,"17.218,87"
02.399.641/0001-96,"2.122.393,16"
03.481.764/0001-34,"467.292,17"
03.663.543/0001-87,"238.267,36"
03.718.562/0001-63,"1.686.011,30"
03.966.481/0001-82,"59.048,00"
05.746.706/0001-10,"510.400,00"
07.939.529/0001-14,"910.309,53"
12.658.927/0001-00,"1.331.517,36"
20.278.397/0001-95,"63.108,92"
21.513.114/0001-05,"181.754,88"
22.731.210/0001-92,"846.052,48"
25.384.512/0001-20,"23.701,11"
27.099.936/0001-78,"66.161,13"
27.317.809/0001-06,"48.896,67"
27.322.619/0001-79,"45.006,26"
28.928.174/0001-38,"168.067,74"
29.220.753/0001-94,"55.868,92"
30.332.787/0001-50,"166.200,80"
30.719.595/0001-09,"222.541,61"
33.947.839/0001-90,"47.360,00"
40.185.837/0001-77,"178.776,28"
47.946.082/0001-25,"183.004,24"
50.186.451/0001-33,"2.265.027,98"
51.694.453/0001-04,"353.604,24"
53.114.633/0001-97,"761.870,12"
54.246.574/0001-73,"1.152.362,35"
55.681.456/0001-56,"284.785,05"
56.194.681/0001-20,"171.083,23"
58.071.382/0001-24,"323.169,22"
59.600.817/0001-43,"181.403,15"
59.825.323/0001-67,"209.854,34"
60.303.914/0001-53,"584.477,44"
61.464.467/0001-87,"1.101.084,70"
62.303.888/0001-99,"371.882,08"
71.103.550/0001-84,"43.461,56"
71.457.725/0001-51,"2.636.055,20"
75.137.877/0001-28,"186.089,39"
79.817.763/0001-80,"380.191,07"
84.375.872/0001-24,"312.642,43"
85.221.208/0001-93,"46.488,14"
93.213.353/0001-50,"88.069,29"
01.773.119/0001-60,"3.829.990,05"
02.243.356/0001-81,"3.520.347,81"
06.268.106/0001-57,"3.224.144,04"
10.704.625/0001-98,"11.435.202,46"
16.924.581/0001-98,"3.921.680,51"
25.104.724/0001-06,"495.281,19"
31.396.583/0001-45,"9.758.053,48"
31.503.824/0001-08,"11.495.072,46"
53.653.945/0001-79,"3.846.384,40"
