CNPJ,M300(132)
28.141.737/0001-43,"224.406,07"
46.088.993/0001-04,"39.152,51"
00.358.614/0001-40,"394.260,14"
00.756.343/0001-80,"18.745,23"
00.833.108/0001-65,"48.175,30"
01.064.278/0001-95,"17.933,99"
01.276.641/0001-36,"128.036,27"
01.534.494/0001-57,"14.528,27"
01.535.640/0001-69,"154.440,00"
01.538.800/0001-23,"2.187,24"
01.742.316/0001-11,"137.642,83"
01.757.090/0001-22,"32.083,30"
01.772.939/0001-37,"6.093,49"
01.832.291/0001-47,"1.765.985,07"
01.873.889/0001-84,"22.716,00"
02.010.387/0001-92,"393.855,46"
02.015.014/0001-04,"1.952.278,11"
02.196.207/0001-09,"39.502,02"
02.305.993/0001-35,"13.095,63"
02.346.363/0001-09,"44.160,00"
02.393.070/0001-82,"1.108,96"
02.396.921/0001-40,"157.116,49"
02.404.038/0001-55,"36.627,20"
02.531.283/0001-23,"33.131,18"
03.652.435/0001-09,"289.575,23"
03.666.084/0001-95,"29.414,13"
03.726.678/0001-44,"29.553,42"
03.770.169/0001-19,"7.670,40"
03.873.325/0001-77,"104.857,34"
04.182.694/0001-86,"357,41"
04.208.405/0001-70,"64.583,98"
04.400.735/0001-63,"323.988,00"
04.436.460/0001-18,"86.061,72"
04.503.707/0001-71,"80.452,80"
04.642.799/0001-70,"515.475,00"
04.942.709/0001-67,"247.974,88"
05.302.072/0001-07,"47.688,00"
06.178.113/0001-68,"25.084,95"
07.803.640/0001-89,"217.811,20"
08.148.492/0001-79,"14.720,00"
08.843.146/0001-00,"22.634,58"
08.948.547/0001-25,"8.759,42"
09.045.758/0001-10,"4.504.531,47"
09.045.774/0001-03,"62.312,56"
09.112.681/0001-54,"10.209,01"
09.320.250/0001-83,"46.957,62"
09.368.242/0001-07,"60.876,43"
09.949.314/0001-00,"266.720,90"
10.750.065/0001-08,"19.015,68"
11.849.746/0001-90,"39.770,00"
11.996.667/0001-02,"1.716.046,15"
12.290.151/0001-00,"60.746,40"
12.347.589/0001-88,"80.406,60"
12.706.990/0001-67,"39.868,84"
12.748.471/0001-61,"330.064,14"
12.847.935/0001-97,"14.683,20"
12.924.817/0001-35,"43.645,12"
13.007.182/0001-74,"2.847,95"
13.065.495/0001-89,"97.228,19"
13.954.433/0001-28,"144.805,08"
14.613.673/0001-21,"143.505,00"
14.878.706/0001-65,"155.656,54"
